,,,,,,,,
Theme: Industry,,,,,,,,
Subject: Transport,,,,,,,,
Topic: Land Transport (including MRT and LRT),,,,,,,,
"Table Title: Motor Vehicle Population Under Vehicle Quota System, (As At End Of Period), Monthly",,,,,,,,
,,,,,,,,
Data last updated: 26/01/2026,,,,,,,,
Source: LAND TRANSPORT AUTHORITY,,,,,,,,
,,,,,,,,
Data Series,Total Motor Vehicles (Number),Total Motor Vehicles -> Category A: Cars (Number),Total Motor Vehicles -> Category B: Cars (Number),Total Motor Vehicles -> Weekend Cars/Off Peak Cars (Number),Total Motor Vehicles -> Category C: Goods Vehicles & Buses (Number),Total Motor Vehicles -> Category D: Motorcycles & Scooters (Number),Total Motor Vehicles -> Taxis (Number),Total Motor Vehicles -> Vehicles Exempted From VQS (Number)
  1999 Dec,688811,268892,114308,na,135723,133466,18029,18393
  1999 Nov,688087,268859,113747,na,135961,133350,17863,18307
  1999 Oct,687019,268633,112995,na,136147,133120,17843,18281
  1999 Sep,686437,268142,112467,na,136407,133228,17951,18242
  1999 Aug,684870,267588,111581,na,136383,133119,17940,18259
  1999 Jul,683773,267217,110868,na,136320,133106,17924,18338
  1999 Jun,682572,266664,110437,na,136248,132985,17906,18332
  1999 May,680692,265509,109835,na,136383,132775,17887,18303
  1999 Apr,680278,265168,109451,na,136739,132746,17881,18293
  1999 Mar,679534,265013,109034,na,136749,132638,17838,18262
  1999 Feb,679829,265512,108976,na,136635,132640,17775,18291
  1999 Jan,680690,266313,108929,na,136741,132640,17849,18218
  1998 Dec,681081,261483,107591,6353,137164,132385,17886,18219
  1998 Nov,681924,262062,107579,6375,137594,132473,17817,18024
  1998 Oct,682309,262449,107708,6413,137635,132392,17779,17933
  1998 Sep,683844,263293,107826,6429,137963,132592,17816,17925
  1998 Aug,684812,263970,107716,6456,138236,132680,17894,17860
  1998 Jul,685261,264540,107566,6472,138652,132610,17611,17810
  1998 Jun,685213,264750,107332,6490,138758,132540,17540,17803
  1998 May,685249,264928,107083,6506,138950,132438,17458,17886
  1998 Apr,685185,265270,106714,6522,139012,132408,17355,17904
  1998 Mar,684133,265317,106119,6556,139020,132130,17171,17820
  1998 Feb,685158,265973,106132,6583,139293,132298,17160,17719
  1998 Jan,684627,266099,105957,6602,139219,132113,17090,17547
  1997 Dec,683204,265818,105158,6619,139531,131818,16933,17327
  1997 Nov,683222,266083,104749,6644,139873,131689,16973,17211
  1997 Oct,682652,266072,104321,6665,139743,131741,16926,17184
  1997 Sep,681335,265711,103862,6687,139477,131710,16750,17138
  1997 Aug,679785,264425,103089,7437,139204,131763,16772,17095
  1997 Jul,678732,263931,102476,7664,138973,131857,16774,17057
  1997 Jun,677818,263486,101851,7881,138812,131994,16780,17014
  1997 May,676340,262755,101260,8093,138527,131952,16753,17000
  1997 Apr,674760,262230,100565,8255,138224,131836,16822,16828
  1997 Mar,673361,261551,99935,8393,138010,131844,16920,16708
  1997 Feb,671839,260844,99335,8522,137730,131939,16897,16572
  1997 Jan,670899,260341,99054,8609,137623,131818,16920,16534
  1996 Dec,668304,259058,98063,8746,137573,131487,16857,16520
  1996 Nov,666773,258276,97243,8893,137857,131389,16697,16418
  1996 Oct,665203,257649,96521,8971,137784,131242,16640,16396
  1996 Sep,663028,256605,95768,9098,137657,131113,16456,16331
  1996 Aug,661066,255574,95039,9201,137465,131052,16446,16289
  1996 Jul,658650,254532,94450,9300,137079,130722,16370,16197
  1996 Jun,656552,253410,93913,9453,136778,130445,16384,16169
  1996 May,654630,252343,93282,9563,136613,130216,16490,16123
  1996 Apr,652459,251090,92639,9674,136411,129982,16613,16050
  1996 Mar,650071,249989,91878,9797,136148,129863,16453,15943
  1996 Feb,647472,248588,91320,9903,135903,129437,16460,15861
  1996 Jan,645133,247532,90363,9992,135738,129150,16556,15802
  1995 Dec,642129,246258,89385,10117,135447,128693,16517,15712
  1995 Nov,640148,245283,88729,10256,135644,128465,16315,15456
  1995 Oct,637442,243892,87920,10368,135270,128307,16337,15348
  1995 Sep,635035,242953,87068,10479,135031,127968,16283,15253
  1995 Aug,632085,241615,86080,10629,134783,127599,16177,15202
  1995 Jul,628901,240404,85257,10834,134190,127175,15910,15131
  1995 Jun,626727,239610,84470,11035,133928,127008,15590,15086
  1995 May,624568,239082,83439,11230,133663,126749,15384,15021
  1995 Apr,622021,237988,82576,11465,133379,126448,15190,14975
  1995 Mar,619586,237093,81516,11677,133225,126205,14995,14875
  1995 Feb,616485,235714,80405,11859,132930,125888,14870,14819
  1995 Jan,614734,234991,79813,11960,132539,125769,14904,14758
  1994 Dec,611611,233674,78566,12143,132521,125314,14750,14643
  1994 Nov,610070,233272,77909,12284,132712,124647,14719,14527
  1994 Oct,608182,232574,77055,12483,132707,124295,14625,14443
  1994 Sep,606179,231590,76519,12808,132621,123819,14400,14422
  1994 Aug,604173,231113,75737,12696,132485,123410,14376,14356
  1994 Jul,602423,230874,75155,12425,132252,123139,14249,14329
  1994 Jun,600040,230355,74279,12174,132116,122705,14206,14205
  1994 May,597967,230094,73471,11940,131894,122337,14144,14087
  1994 Apr,595579,229688,72791,11717,131657,121632,14129,13965
  1994 Mar,593949,229444,72212,11515,130491,121080,14160,15047
  1994 Feb,589775,228331,71103,11181,129987,120198,14033,14942
  1994 Jan,588119,228193,70356,11012,129983,119692,14005,14878
  1993 Dec,584322,226994,68963,10716,129834,119107,13917,14791
  1993 Nov,582828,227026,67863,10440,129905,118818,13888,14888
  1993 Oct,580658,226628,67104,10219,129703,118605,13627,14772
